Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badges (product.metafields.custom.badges),feature1 (product.metafields.custom.feature1),feature2 (product.metafields.custom.feature2),feature3 (product.metafields.custom.feature3),Playback (product.metafields.custom.playback),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Band color (product.metafields.shopify.band-color),Chassis type (product.metafields.shopify.chassis-type),Color (product.metafields.shopify.color-pattern),Compatible device (product.metafields.shopify.compatible-device),Component output type (product.metafields.shopify.component-output-type),Connection type (product.metafields.shopify.connection-type),Connectivity technology (product.metafields.shopify.connectivity-technology),Dial color (product.metafields.shopify.dial-color),Energy efficiency class (product.metafields.shopify.energy-efficiency-class),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Power source (product.metafields.shopify.power-source),Smart watch features (product.metafields.shopify.smart-watch-features),Target gender (product.metafields.shopify.target-gender),Watch display (product.metafields.shopify.watch-display),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Included / International,Price / International,Compare At Price / International,Status
boost-cosmic-smart-watch-matte-black,Boost Cosmic Smart Watch - Matte Black,"<p><strong>Warranty: 1 Year<br><meta charset=""utf-8""></strong></p>
<ul>
<li style=""font-weight: bold;""><strong>Bluetooth Calling</strong></li>
<li style=""font-weight: bold;""><strong>Steps Counter</strong></li>
<li style=""font-weight: bold;""><strong>Calories Counter</strong></li>
<li style=""font-weight: bold;""><strong>Distance Tracker</strong></li>
<li style=""font-weight: bold;""><strong>Blood Pressure</strong></li>
<li style=""font-weight: bold;""><strong>SpO2</strong></li>
<li style=""font-weight: bold;""><strong>Sedentary Reminder</strong></li>
<li style=""font-weight: bold;""><strong>Sleep Tracker</strong></li>
<li style=""font-weight: bold;""><strong>Automatic Heart Rate Monitor</strong></li>
<li style=""font-weight: bold;""><strong>Lift the Wrist Bright Screen</strong></li>
<li style=""font-weight: bold;""><strong>Call Notifications</strong></li>
<li style=""font-weight: bold;""><strong>Message Notifications</strong></li>
<li style=""font-weight: bold;""><strong>Alarm Clock</strong></li>
<li style=""font-weight: bold;""><strong>Remote Control Photography</strong></li>
<li style=""font-weight: bold;""><strong>100+ Sports Modes</strong></li>
<li style=""font-weight: bold;""><strong>Voice Assistant</strong></li>
<li style=""font-weight: bold;""><strong>Multiple Dials</strong></li>
<li style=""font-weight: bold;""><strong>2 Straps</strong></li>
<li style=""font-weight: bold;""><strong>IP68 Water Resistance</strong></li>
<li style=""font-weight: bold;""><strong>Games</strong></li>
<li style=""font-weight: bold;""><strong>Stress Test</strong></li>
<li style=""font-weight: bold;""><strong>Breathing Training</strong></li>
<li style=""font-weight: bold;""><strong>Calendar</strong></li>
<li style=""font-weight: bold;""><strong>Password Unlocking</strong></li>
<li style=""font-weight: bold;""><strong>Music Control</strong></li>
<li style=""font-weight: bold;""><strong>Always On Display</strong></li>
<li style=""font-weight: bold;""><strong>Find Phone</strong></li>
<li style=""font-weight: bold;""><strong>Multiple Dials</strong></li>
<li style=""font-weight: bold;""><strong>Social Media Notifications</strong></li>
<li style=""font-weight: bold;""><strong>2.01-inch AMOLED</strong></li>
<li style=""font-weight: bold;""><strong>2-5 Days Battery Life</strong></li>
<li style=""font-weight: bold;""><strong>Flashlight</strong></li>
</ul>
<p><strong><br></strong></p>",Boost Lifestyle,Apparel & Accessories > Jewelry > Smart Watches,"",smart watches,true,Title,Default Title,,,,,,,,,1000.0,shopify,793,deny,manual,5999.00,15000.00,true,false,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Cosmic.webp?v=1752231329,1,Boost Cosmic Smart Watch,false,Boost Cosmic Smart Watch - 100+ Sports Mode & AMOLED Display,"Track health, fitness, and stay connected with Boost Cosmic Smart Watch! Features Bluetooth calling, 100+ sports modes, IP68 water resistance, and 2.01"" AMOLED screen.",201,,adult,,,,,,,,,,100+ Sports Modes,2-5 Days Battery Life,IP68 Water Resistance,2.01-inch AMOLED Display,,,adults,,,,,,,bluetooth; gps; wi-fi,black,,,,alarm; blood-oxygen-level-monitoring; blood-pressure-monitoring; compass; customizable-watch-faces; ecg-monitoring; fitness-tracker; gps-support; heart-rate-monitor; interchangeable-strap; music-control; sleep-tracker; step-counter; touchscreen; waterproof,,digital,,,,,,kg,,,true,,,true,,,active
boost-cosmic-smart-watch-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Black6.webp?v=1727188363,2,Boost Cosmic Smart Watch in Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-cosmic-smart-watch-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Black5.webp?v=1727188363,3,Smart Watch Price in Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-cosmic-smart-watch-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Black1.webp?v=1727188363,4,Boost Cosmic Smart Watch Price in Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-cosmic-smart-watch-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Black4.webp?v=1727188363,5,Smart Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-cosmic-smart-watch-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Black2.webp?v=1727188363,6,Smart Watch in Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-cosmic-smart-watch-matte-black,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Black3.webp?v=1727188363,7,Boost Smart Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-astro-smart-watch-copy,Boost Astro Smart Watch - Cool Blue,"<p><strong>Warranty: 1 Year</strong></p>
<ul>
<li style=""font-weight: bold;""><strong>Heart Rate</strong></li>
<li style=""font-weight: bold;""><strong>Blood Pressure</strong></li>
<li style=""font-weight: bold;""><strong>Blood Oxygen</strong></li>
<li style=""font-weight: bold;""><strong>Body Temperature</strong></li>
<li style=""font-weight: bold;""><strong>Calls</strong></li>
<li style=""font-weight: bold;""><strong>Sleep Tracker</strong></li>
<li style=""font-weight: bold;""><strong>Calories Counter</strong></li>
<li style=""font-weight: bold;""><strong>Distance Tracker</strong></li>
<li style=""font-weight: bold;""><strong>Voice Assistant</strong></li>
<li style=""font-weight: bold;""><strong>Call Notifications</strong></li>
<li style=""font-weight: bold;""><strong>Stopwatch</strong></li>
<li style=""font-weight: bold;""><strong>Calculator</strong></li>
<li style=""font-weight: bold;""><strong>Weather Display</strong></li>
<li style=""font-weight: bold;""><strong>Menstrual Cycle Tracking</strong></li>
<li style=""font-weight: bold;""><strong>Remote Control Photography</strong></li>
<li style=""font-weight: bold;""><strong>Raise Your Wrist to Turn on the Screen</strong></li>
<li style=""font-weight: bold;""><strong>Find Phone</strong></li>
<li style=""font-weight: bold;""><strong>Alarm Clock Reminder</strong></li>
<li style=""font-weight: bold;""><strong>Sedentary Reminder</strong></li>
<li style=""font-weight: bold;""><strong>Flashlight</strong></li>
<li style=""font-weight: bold;""><strong>Breathing Training</strong></li>
<li style=""font-weight: bold;""><strong>Multiple Dials</strong></li>
<li style=""font-weight: bold;""><strong>100+ Sports Modes</strong></li>
<li style=""font-weight: bold;""><strong>IP67 Water Resistance</strong></li>
<li style=""font-weight: bold;""><strong>Bluetooth 5.3</strong></li>
<li style=""font-weight: bold;""><strong>AMOLED Screen</strong></li>
<li style=""font-weight: bold;""><strong>2 Straps</strong></li>
<li style=""font-weight: bold;""><strong>2-5 Days Battery Life</strong></li>
<li style=""font-weight: bold;""><strong>1.43 Inch Screen Size</strong></li>
<li style=""font-weight: bold;""><strong>Social Media Notifications</strong></li>
<li style=""font-weight: bold;""><strong>Always on Display</strong></li>
<li style=""font-weight: bold;""><strong>Message Reminder</strong></li>
<li style=""font-weight: bold;""><strong>Bluetooth Calling</strong></li>
<li style=""font-weight: bold;""><strong>Music Control</strong></li>
</ul>",Boost Lifestyle,Apparel & Accessories > Jewelry > Smart Watches,"",smart watches,true,Title,Default Title,,,,,,,,,1000.0,shopify,436,deny,manual,4999.00,12000.00,true,false,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Astro.webp?v=1752230818,1,Boost Astro Smart Watch,false,Boost Astro Smart Watch | Bluetooth Calling & Fitness Tracker,"Stay connected with Boost Astro Smart Watch! Track fitness, monitor health, and enjoy 100+ sports modes, IP68 water resistance, and 2.01"" AMOLED display.",,,adult,,,,,,,,,,2-5 Days Battery Life,Bluetooth 5.3,IP67 Water Resistance,1.43 Inch AMOLED Display,,,adults,,,,,,,bluetooth,cool-blue,,,,blood-oxygen-level-monitoring; blood-pressure-monitoring; camera-control; customizable-watch-faces; device-location-feature; ecg-monitoring; fitness-tracker; heart-rate-monitor; interchangeable-strap; music-control; sleep-tracker; step-counter; touchscreen; voice-control; waterproof,unisex,digital,,,,,,kg,,,true,,,true,,,active
boost-astro-smart-watch-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Render_2_1.webp?v=1741773698,2,Latest Smart Watches Price in Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boost-astro-smart-watch-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0688/4625/6375/files/Render_5_1.webp?v=1741773698,3,Smart Watches Online in Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
